Page,Status,Comment
https://www.fledger.co.uk/home/,Missing,Please use this link in the Canonical URL: https://www.fledger.co.uk/home/
https://www.fledger.co.uk/features/,Missing,Please use this link in the Canonical URL: https://www.fledger.co.uk/features/
https://www.fledger.co.uk/features/,Missing,Please use this link in the Canonical URL: https://www.fledger.co.uk/features/
https://www.fledger.co.uk/pricing/,Missing,Please use this link in the Canonical URL: https://www.fledger.co.uk/pricing/
https://www.fledger.co.uk/contact/,Missing,Please use this link in the Canonical URL: https://www.fledger.co.uk/contact/
https://www.fledger.co.uk/about/,Missing,Please use this link in the Canonical URL: https://www.fledger.co.uk/about/
https://www.fledger.co.uk/faq/,Missing,Please use this link in the Canonical URL: https://www.fledger.co.uk/faq/
https://www.fledger.co.uk/privacy/,Missing,Please use this link in the Canonical URL: https://www.fledger.co.uk/privacy/
https://www.fledger.co.uk/terms-of-use/,Missing,Please use this link in the Canonical URL: https://www.fledger.co.uk/terms-of-use/
https://www.fledger.co.uk/blog/,Missing,Please use this link in the Canonical URL: https://www.fledger.co.uk/blog/
